#separator:tab
#html:true
#columns:Cue	Line	Deck	Tags
#deck column:3
#tags column:4
I carry the Spear of Judgment and the Banner of the Evening Twilight, which is the Banner of the West,	and I am called Fortitude.	Neophyte::05. Hiereus::02. officers	officers Hiereus
<b>Hierophant:</b> <i>(!)</i> KHABS<br><br><i>[Context: Charge to the Hall, opening]</i>	<i>(!)</i> AM	Neophyte::05. Hiereus::05. charge_opening	charge_opening Hiereus
<b>Hierophant:</b> <i>(!)</i> KHABS<br><br><b>Hiereus:</b> <i>(!)</i> AM<br><br><b>Hegemon:</b> <i>(!)</i> PEKHT<br><br><i>[Context: Charge to the Hall, opening]</i>	<i>(!)</i> KONX	Neophyte::05. Hiereus::05. charge_opening	charge_opening Hiereus
<b>Hegemon:</b> <i>(!)</i> LIGHT<br><br><b>Hierophant:</b> <i>(!)</i> IN<br><br><i>[Context: Charge to the Hall, opening]</i>	<i>(!)</i> EXTENSION	Neophyte::05. Hiereus::05. charge_opening	charge_opening Hiereus
<b>Hegemon:</b> Child of Earth, twice purified and twice consecrated, thou mayest approach the Gateway of the West.	Thou canst not pass by me, saith the Guardian of the West, unless thou canst tell me my name.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
<b>Asp. (Hegemon prompting):</b> Darkness is thy Name, thou Great One of the Paths of the Shades.	Fear not at all.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
Fear not at all.	Fear neither men nor Fates nor gods nor anything.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
Fear neither men nor Fates nor gods nor anything.	Money fear not, nor laughter of the folk folly,	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
Money fear not, nor laughter of the folk folly,	nor any other power in heaven or upon the earth or under the earth.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
nor any other power in heaven or upon the earth or under the earth.	Nu is your refuge as Hadit your light;	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
Nu is your refuge as Hadit your light;	and Ra-Hoor-Khu is the strength, force, vigour of your arms.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
and Ra-Hoor-Khu is the strength, force, vigour of your arms.	Thou hast known me now, so pass thou on.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
<b>Hegemon:</b> Inheritor of a Dying World, we call thee to the Living Beauty.	Wanderer in the Wild Darkness, we call thee to the Gentle Light.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
<b>Hierophant:</b> <i>(Aspirant's motto)</i>	<i>(H&H&H together)</i> We receive thee into the Order of the Golden Dawn!	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
<b>Hierophant:</b> KHABS<br><br><i>[Context: reception, during initiation]</i>	AM	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
<b>Hierophant:</b> KHABS<br><br><b>Hiereus:</b> AM<br><br><b>Hegemon:</b> PEKHT<br><br><i>[Context: reception, during initiation]</i>	KONX	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
<b>Hegemon:</b> LIGHT<br><br><b>Hierophant:</b> IN<br><br><i>[Context: reception, during initiation]</i>	EXTENSION	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
<b>Hierophant:</b> Sr/Fr Hiereus, will you give the Neophyte the Word, Grip and Signs as well as the current password of the 0=0 Hall of the Neophytes of the Open Source Order of the Golden Dawn.	I will.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
<b>Hiereus:</b> I will.<br><br><i>[Context: Handing Spear and Banner to the Hegemon, Hiereus steps between the two pillars.]</i>	Sr/Fr _________, I shall now instruct you in the Step, Signs, Grip and Words of this Grade.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
Sr/Fr _________, I shall now instruct you in the Step, Signs, Grip and Words of this Grade.	First, advance your left foot a short pace, as if stepping through a doorway.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
First, advance your left foot a short pace, as if stepping through a doorway.	This is the Step. It symbolizes that you have taken the first step on the path to Adepthood.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
This is the Step. It symbolizes that you have taken the first step on the path to Adepthood.	The Signs are two. The first is the Sign of the Enterer:	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
The Signs are two. The first is the Sign of the Enterer:	take the Step, then thrust out both your hands forward, palms down, hands level with your eyes, fingers together.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
take the Step, then thrust out both your hands forward, palms down, hands level with your eyes, fingers together.	It alludes to reaching out from the darkness toward the Light,	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
It alludes to reaching out from the darkness toward the Light,	and to sending the power of your own Light out from the darkness.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
and to sending the power of your own Light out from the darkness.	The second sign is the Sign of Silence:	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
The second sign is the Sign of Silence:	step back firmly so that the left heel touches the right instep,	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
step back firmly so that the left heel touches the right instep,	and place the tip of your left finger to your lips.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
and place the tip of your left finger to your lips.	It alludes to grounding, to hermetically sealing your energy within yourself.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
It alludes to grounding, to hermetically sealing your energy within yourself.	The first sign is always answered with the second.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
The first sign is always answered with the second.	The Grip or Token is this: take the Step and place your left foot next to mine, heel to toe.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
The Grip or Token is this: take the Step and place your left foot next to mine, heel to toe.	Then reach for my right hand with yours, and touch your fingers to mine,	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
Then reach for my right hand with yours, and touch your fingers to mine,	draw back, then catch my fingers in yours, thumbs apart.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
draw back, then catch my fingers in yours, thumbs apart.	It alludes to reaching for guidance in the darkness, and finding it.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
It alludes to reaching for guidance in the darkness, and finding it.	The Words are delivered along with the Grip,	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
The Words are delivered along with the Grip,	whispered from mouth to ear, one syllable at a time.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
whispered from mouth to ear, one syllable at a time.	The Grand Word of this Grade is "HAR… PAR… KRAT"—exchange it with me.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
The Grand Word of this Grade is "HAR… PAR… KRAT"—exchange it with me.	The password of the current Equinox is __________.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
The password of the current Equinox is __________.	Exchange it with me.	Neophyte::05. Hiereus::07. lengthy_explanations	initiation lengthy_explanations Hiereus
<b>Hiereus:</b> Exchange it with me.	I now place you between the two Pillars of Hermes and of Solomon in the symbolic Gateway of Hidden Knowledge.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
<b>Hiereus:</b> I now place you between the two Pillars of Hermes and of Solomon in the symbolic Gateway of Hidden Knowledge.<br><br><i>[Context: Hiereus reclaims spear and banner and returns to station at Pillar.]</i>	Let the final Consecration take place.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
<b>Hegemon:</b> ...Upon the breast is a white triangle symbolizing Light dawning in Darkness.	Let the Mystical Circumambulation take place in the Pathway of Light.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
<b>All:</b> LOVE IS THE LAW, LOVE UNDER WILL.<br><br><i>[Context: After last initiate admitted with all new initiates present. Hiereus stands and faces newest initiate(s) with banner and spear.]</i>	Aum! All words are sacred and all prophets true;	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
Aum! All words are sacred and all prophets true;	save only that they understand a little;	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
save only that they understand a little;	solve the first half of the equation, leave the second unattacked.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
solve the first half of the equation, leave the second unattacked.	But thou hast all in the clear light, and some, though not all, in the dark.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
But thou hast all in the clear light, and some, though not all, in the dark.	Love is the law, love under will.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
Love is the law, love under will.	Nor let the fools mistake love, for there are love and love.	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
Nor let the fools mistake love, for there are love and love.	There is the dove, and there is the serpent. Choose ye well!	Neophyte::05. Hiereus::06. initiation	initiation Hiereus
<b>Hierophant:</b> Sr/Fr Hiereus, guard the hither side of the portal and assure yourself that all present have witnessed the Golden Dawn.	Sodalii of the Order of the Golden Dawn, please rise <i>(wait for all to rise)</i> and give the signs of a Neophyte.	Neophyte::05. Hiereus::08. closing	closing Hiereus
Sodalii of the Order of the Golden Dawn, please rise <i>(wait for all to rise)</i> and give the signs of a Neophyte.<br><br><i>[Context: closing]</i>	Sr/Fr Hierophant, all present have been so honored.	Neophyte::05. Hiereus::08. closing	closing Hiereus
<b>Hierophant:</b> <i>(!)</i> KHABS<br><br><i>[Context: Closing Charge]</i>	<i>(!)</i> AM	Neophyte::05. Hiereus::10. charge_closing	charge_closing Hiereus
<b>Hierophant:</b> <i>(!)</i> KHABS<br><br><b>Hiereus:</b> <i>(!)</i> AM<br><br><b>Hegemon:</b> <i>(!)</i> PEKHT<br><br><i>[Context: Closing Charge]</i>	<i>(!)</i> KONX	Neophyte::05. Hiereus::10. charge_closing	charge_closing Hiereus
<b>Hegemon:</b> <i>(!)</i> LIGHT<br><br><b>Hierophant:</b> <i>(!)</i> IN<br><br><i>[Context: Closing Charge]</i>	<i>(!)</i> EXTENSION	Neophyte::05. Hiereus::10. charge_closing	charge_closing Hiereus
